Paikka_Id,KuntaNimi,Nimi,lat,lon,Aika,Arvo
1721,Joensuu,Melajärvi,62.427139646765916,30.441777251998268,2019-01-01,10999
2036,Iitti,Konnivesi,61.084431104134424,26.188617389141154,2019-01-01,7738
2037,Iitti,Kettujärvi,61.02745764249595,26.17722954296263,2019-01-01,7396
2039,Iitti,"Konnivesi, Vuolenkoski, ylä",61.079961903631116,26.18298538485683,2019-01-01,7734
2040,Iitti,"Vuolenkoski, ala",61.079796732751255,26.18239646870377,2019-01-01,7393
2041,Iitti,Mankala,60.99165451955205,26.16307149822261,2019-01-01,7399
2044,Iitti,"Mankalan voimalaitos, ylä",60.926204819173925,26.26849945315289,2019-01-01,7394
2045,Iitti,"Mankalan voimalaitos, ala",60.92617501617904,26.269625411136822,2019-01-01,6535
2048,Kouvola,"Pyhäjärvi, Jaala",61.03396513337842,26.506531099136982,2019-01-01,6533
2049,Mikkeli,"Kyyvesi, Haukivuori",62.017194185091064,27.195385819103127,2019-01-01,56
2050,Mikkeli,Iso-Naakkima,62.17753153576616,27.13575373896659,2019-01-01,61
2724,Kruunupyy,Emmesin järvi,63.67581487695834,23.579210658708572,2019-01-01,4836
2053,Kangasniemi,Synsiä,62.08603982782941,26.502040526988782,2019-01-01,71
2035,Heinola,Ala-Rieveli,61.33572288388385,26.20133631310814,2019-01-01,90
2055,Hirvensalmi,"Puulavesi, Liekune",61.62858537817035,26.763928949962267,2019-01-01,9448
2057,Hirvensalmi,Vahvajärvi,61.61540700490332,26.643714633123952,2019-01-01,72
2059,Mäntyharju,"Lahnavesi, Tuustaipale, ala",61.50007690594924,26.708284425736018,2019-01-01,77
2720,Veteli,Patanan tekoallas,63.30252897452472,23.98227106539501,2019-01-01,12083
2060,Mäntyharju,Saittalampi,61.44023764139523,26.61569670262875,2019-01-01,83
2061,Mäntyharju,"Pyhävesi, Mäntyharju",61.427889860876505,26.891466425748394,2019-01-01,106
2062,Kouvola,"Juolasvesi, Voikoski",61.25755821564633,26.773297009615533,2019-01-01,187
2064,Kouvola,"Vuohijärvi, etelä",61.09493764332716,26.77427601370268,2019-01-01,7633
2065,Kouvola,"Siikakoski, ala",61.09287231917986,26.712559772137126,2019-01-01,7276
2066,Kouvola,"Verla, ylä",61.06375346772943,26.63651326074119,2019-01-01,7272
2067,Kouvola,"Kamponen, Puolakka",61.04545458615056,26.62922387682228,2019-01-01,6684
2068,Kouvola,Suolajärvi,61.07998252497513,26.63540041481741,2019-01-01,7275
2069,Kouvola,Sonnanjärvi,61.06875604545535,26.61451712132815,2019-01-01,7044
2722,Perho,Yrttikosken säänn. Pato,63.31389843134695,24.11483781776661,2019-01-01,13281
2727,Kruunupyy,Isojärvi,63.646763878887796,23.53624351168854,2019-01-01,386
2034,Heinola,"Ruotsalainen, Heinola",61.200900591161286,26.02576216591153,2019-01-01,252
2033,Asikkala,"Kalkkinen, ala",61.29112496174704,25.59724102215464,2019-01-01,7739
1998,Jyväskylä,"Päijänne, pohj.",62.218286925517425,25.849888777629477,2019-01-01,132
2000,Jyväskylä,Palokkajärvi,62.25961448943918,25.746743351416573,2019-01-01,9422
2001,Muurame,Muuratjärvi,62.172830386285845,25.55080563232177,2019-01-01,45
2736,Veteli,Patanan alakanava,63.30247140070464,23.982097402740226,2019-01-01,10952
2002,Jyväskylä,Saarijärvi,61.997036633400675,25.372574566384763,2019-01-01,29
2003,Petäjävesi,Ala-Kintaus,62.27850499276799,25.337971472489773,2019-01-01,87
2004,Petäjävesi,Petäjävesi,62.215555331941395,25.23532512649749,2019-01-01,54
2735,Lapua,"Lapuanjoki, Pouttu",62.99065253335001,22.972630755160022,2019-01-01,2599
2007,Jämsä,"Jämsänkoski, ylä",61.928283962162816,25.160427119995084,2019-01-01,9769
2733,Sodankylä,"Kurkiaska, pato",67.31157261416317,26.696284832189782,2019-01-01,17374
2009,Jämsä,"Patalankoski, ylä",61.91697798485861,25.164382588191682,2019-01-01,9236
2010,Jämsä,"Patalankoski, ala",61.91598411307457,25.164594555487927,2019-01-01,7768
2732,Sodankylä,Matarakoski,67.58474907980931,26.745116489139747,2019-01-01,18781
2011,Kuhmoinen,Isojärvi,61.6641743764157,25.163232500412537,2019-01-01,83
